x,y,radius_px,sigma,score
73,226,2.26,1.60,0.219583
109,178,2.72,1.92,0.219575
347,221,3.26,2.30,0.219560
175,226,2.72,1.92,0.219289
293,151,3.26,2.30,0.219213
291,194,2.26,1.60,0.218840
112,227,3.91,2.76,0.218810
303,333,2.26,1.60,0.218563
229,236,3.26,2.30,0.218363
79,285,2.26,1.60,0.218360
144,236,3.91,2.76,0.218052
93,246,5.63,3.98,0.217998
149,283,2.26,1.60,0.217985
272,217,2.72,1.92,0.217511
211,217,2.26,1.60,0.217426
164,237,2.26,1.60,0.217190
53,231,2.26,1.60,0.216800
164,339,3.91,2.76,0.216188
195,232,3.26,2.30,0.216164
308,219,2.72,1.92,0.215775
341,336,2.26,1.60,0.215645
197,334,2.26,1.60,0.215568
159,341,2.72,1.92,0.215481
293,219,2.26,1.60,0.215309
349,203,2.26,1.60,0.214773
248,274,3.91,2.76,0.214476
43,211,2.26,1.60,0.214079
54,249,4.69,3.32,0.213330
158,337,3.26,2.30,0.212937
18,277,5.63,3.98,0.212831
167,203,2.26,1.60,0.212691
83,225,2.26,1.60,0.212150
353,214,2.72,1.92,0.212145
323,214,3.91,2.76,0.212045
190,346,2.26,1.60,0.211926
44,213,2.26,1.60,0.211523
92,178,3.26,2.30,0.211441
64,278,3.91,2.76,0.210985
10,250,3.91,2.76,0.210743
96,211,2.72,1.92,0.210739
29,194,2.26,1.60,0.210558
53,242,3.91,2.76,0.210488
329,209,2.26,1.60,0.210302
298,359,3.26,2.30,0.209978
85,203,2.26,1.60,0.209870
62,232,3.26,2.30,0.208974
93,257,5.63,3.98,0.208879
219,236,3.26,2.30,0.208640
218,247,2.72,1.92,0.208453
269,324,8.11,5.73,0.208257
205,219,2.26,1.60,0.208199
273,182,2.26,1.60,0.208173
321,151,3.91,2.76,0.207996
359,169,29.05,20.54,0.207967
237,166,4.69,3.32,0.207847
84,233,2.26,1.60,0.207475
11,230,2.26,1.60,0.207414
56,236,3.26,2.30,0.207263
81,179,3.26,2.30,0.207182
327,203,2.72,1.92,0.206859
122,215,3.26,2.30,0.206693
8,236,2.26,1.60,0.206589
261,200,2.26,1.60,0.206082
58,222,2.26,1.60,0.205806
8,199,2.26,1.60,0.205432
59,281,2.26,1.60,0.205370
175,283,3.91,2.76,0.205165
276,263,3.26,2.30,0.204880
305,152,2.26,1.60,0.204782
202,207,2.26,1.60,0.204570
352,147,3.91,2.76,0.204438
131,194,2.26,1.60,0.204244
330,230,3.26,2.30,0.204022
297,324,2.72,1.92,0.203874
275,246,3.91,2.76,0.203837
325,202,2.26,1.60,0.203652
348,232,2.26,1.60,0.203218
294,236,3.26,2.30,0.203200
194,211,2.26,1.60,0.203073
303,343,4.69,3.32,0.203046
277,315,2.26,1.60,0.203038
81,222,2.26,1.60,0.202767
166,266,4.69,3.32,0.202440
73,237,3.91,2.76,0.202332
300,230,3.91,2.76,0.202092
334,155,9.73,6.88,0.202007
187,181,2.26,1.60,0.201821
141,230,3.91,2.76,0.201671
66,220,2.26,1.60,0.201613
180,245,4.69,3.32,0.201233
171,211,2.26,1.60,0.200965
148,281,3.26,2.30,0.200845
125,218,3.26,2.30,0.200553
7,241,2.26,1.60,0.200399
126,254,3.91,2.76,0.200323
50,219,2.26,1.60,0.200261
125,223,2.26,1.60,0.199888
300,214,2.72,1.92,0.199887
52,268,4.69,3.32,0.199791
67,266,3.91,2.76,0.199767
266,204,3.91,2.76,0.199761
167,318,4.69,3.32,0.199624
232,277,3.91,2.76,0.199262
66,228,2.26,1.60,0.198897
215,217,2.26,1.60,0.198880
85,215,2.26,1.60,0.198564
186,170,2.26,1.60,0.198366
246,197,2.26,1.60,0.198269
71,275,5.63,3.98,0.198159
190,260,3.91,2.76,0.198152
173,217,2.72,1.92,0.198083
50,203,2.26,1.60,0.198076
8,295,2.26,1.60,0.197898
169,178,2.72,1.92,0.197656
242,270,3.91,2.76,0.197602
27,218,2.26,1.60,0.197466
254,211,3.26,2.30,0.197154
191,327,3.91,2.76,0.197056
189,345,2.72,1.92,0.196995
262,342,2.26,1.60,0.196747
85,237,2.72,1.92,0.196735
196,257,3.26,2.30,0.196606
258,165,2.72,1.92,0.196345
304,341,2.72,1.92,0.196096
293,351,5.63,3.98,0.195995
179,170,3.26,2.30,0.195991
359,221,2.72,1.92,0.195980
112,220,3.26,2.30,0.195840
300,210,2.72,1.92,0.195265
187,190,2.26,1.60,0.194980
194,167,4.69,3.32,0.194530
263,256,3.26,2.30,0.194522
258,163,5.63,3.98,0.194502
178,214,2.26,1.60,0.194494
291,359,2.26,1.60,0.194320
60,297,2.26,1.60,0.193966
67,258,3.91,2.76,0.193815
282,320,6.76,4.78,0.193678
142,224,3.91,2.76,0.193530
15,229,2.26,1.60,0.193387
44,172,2.72,1.92,0.193385
61,248,2.72,1.92,0.193274
176,312,5.63,3.98,0.193241
263,352,2.26,1.60,0.193204
184,263,3.91,2.76,0.193198
79,205,2.26,1.60,0.193191
132,222,2.26,1.60,0.193154
133,177,3.26,2.30,0.193106
114,216,3.26,2.30,0.192983
86,211,2.26,1.60,0.192919
90,239,2.26,1.60,0.192290
81,210,3.26,2.30,0.191995
162,279,3.91,2.76,0.191989
197,359,14.01,9.91,0.191884
294,159,11.68,8.26,0.191382
46,164,3.91,2.76,0.190475
6,180,3.91,2.76,0.190472
305,224,2.72,1.92,0.190461
161,235,2.26,1.60,0.190295
189,229,3.26,2.30,0.190203
292,215,2.26,1.60,0.190044
262,349,2.26,1.60,0.189911
117,272,2.26,1.60,0.189749
185,203,2.26,1.60,0.189043
311,211,2.72,1.92,0.188945
310,225,3.91,2.76,0.188940
285,152,3.91,2.76,0.188813
186,317,2.72,1.92,0.188677
195,345,3.91,2.76,0.188663
179,205,2.72,1.92,0.188517
245,206,2.26,1.60,0.188490
239,168,2.26,1.60,0.188262
21,213,2.26,1.60,0.188194
107,276,2.26,1.60,0.188193
150,191,2.26,1.60,0.188054
186,279,3.26,2.30,0.188053
217,243,2.72,1.92,0.187184
249,198,2.26,1.60,0.187054
64,198,2.26,1.60,0.186988
154,220,3.26,2.30,0.186951
325,199,2.26,1.60,0.186583
144,291,3.91,2.76,0.186301
77,277,3.91,2.76,0.185938
69,215,2.72,1.92,0.185808
330,200,2.26,1.60,0.185789
63,173,3.91,2.76,0.185592
82,221,3.26,2.30,0.185157
140,178,2.26,1.60,0.185022
263,347,3.26,2.30,0.184982
161,210,2.26,1.60,0.184947
331,150,3.26,2.30,0.184739
52,214,2.72,1.92,0.184628
333,228,5.63,3.98,0.184308
289,240,2.72,1.92,0.184192
283,359,11.68,8.26,0.184136
178,198,2.26,1.60,0.183876
98,229,3.26,2.30,0.183530
105,240,5.63,3.98,0.183527
205,182,3.26,2.30,0.183413
183,314,3.26,2.30,0.183191
22,222,2.26,1.60,0.183071
307,157,2.26,1.60,0.182772
276,209,4.69,3.32,0.182638
12,238,2.26,1.60,0.182595
51,235,2.26,1.60,0.182346
11,180,3.26,2.30,0.182328
52,258,4.69,3.32,0.182167
11,279,2.72,1.92,0.182166
321,158,2.72,1.92,0.182164
168,214,2.26,1.60,0.182034
325,154,2.72,1.92,0.181798
76,270,2.26,1.60,0.181657
314,145,16.81,11.89,0.181600
71,299,2.26,1.60,0.181452
172,272,3.91,2.76,0.181303
180,236,3.91,2.76,0.181137
19,239,4.69,3.32,0.181109
303,337,2.26,1.60,0.181067
314,231,2.72,1.92,0.181065
269,150,16.81,11.89,0.180884
156,290,3.26,2.30,0.180883
174,195,2.26,1.60,0.180878
26,179,2.72,1.92,0.180521
297,219,2.26,1.60,0.180447
244,221,2.26,1.60,0.180353
65,248,2.26,1.60,0.180268
359,262,2.26,1.60,0.180258
38,180,2.72,1.92,0.179968
146,193,2.72,1.92,0.179848
359,136,20.17,14.27,0.179843
336,214,2.26,1.60,0.179639
183,348,2.26,1.60,0.179454
297,357,2.26,1.60,0.179363
243,170,2.26,1.60,0.179287
103,223,5.63,3.98,0.179261
90,233,3.91,2.76,0.179252
345,150,3.26,2.30,0.179235
108,206,2.26,1.60,0.179076
177,168,5.63,3.98,0.178987
78,288,2.26,1.60,0.178779
139,190,2.26,1.60,0.178676
89,220,2.72,1.92,0.178671
12,277,2.72,1.92,0.178625
235,168,2.26,1.60,0.178550
342,231,2.26,1.60,0.178541
17,234,2.26,1.60,0.178387
304,202,2.26,1.60,0.178023
299,354,2.26,1.60,0.177829
107,225,2.26,1.60,0.177337
235,192,2.26,1.60,0.177332
162,338,2.26,1.60,0.177226
323,158,4.69,3.32,0.177194
146,178,2.26,1.60,0.177110
195,242,2.26,1.60,0.176909
194,314,3.26,2.30,0.176902
311,359,11.68,8.26,0.176814
152,302,2.26,1.60,0.176738
249,213,3.26,2.30,0.176475
79,258,9.73,6.88,0.176470
310,349,5.63,3.98,0.176373
62,219,2.72,1.92,0.176197
310,174,9.73,6.88,0.176166
258,349,2.72,1.92,0.176131
251,169,3.91,2.76,0.175886
317,160,2.26,1.60,0.175720
83,238,4.69,3.32,0.174707
180,215,3.26,2.30,0.174651
262,325,2.26,1.60,0.174624
277,345,3.91,2.76,0.174401
121,209,2.26,1.60,0.174260
289,244,2.26,1.60,0.174123
55,199,2.72,1.92,0.174048
110,232,2.26,1.60,0.173906
292,321,2.26,1.60,0.173727
352,226,2.72,1.92,0.173591
262,144,24.21,17.12,0.173523
347,338,3.91,2.76,0.173516
66,260,2.72,1.92,0.173428
73,252,2.26,1.60,0.173422
203,203,2.26,1.60,0.173405
261,214,3.91,2.76,0.172901
27,229,2.26,1.60,0.172531
193,193,2.26,1.60,0.172461
114,175,2.72,1.92,0.172217
190,324,2.26,1.60,0.172086
330,190,2.26,1.60,0.172062
185,207,2.26,1.60,0.172044
195,165,6.76,4.78,0.171920
160,177,3.26,2.30,0.171841
197,203,2.26,1.60,0.171762
163,273,2.72,1.92,0.171729
163,226,2.26,1.60,0.171701
7,283,2.72,1.92,0.171582
336,197,2.26,1.60,0.171484
336,326,2.26,1.60,0.171482
256,212,2.26,1.60,0.171227
100,179,2.26,1.60,0.170848
38,204,2.26,1.60,0.170820
25,351,2.26,1.60,0.170788
74,253,3.26,2.30,0.170652
292,247,2.26,1.60,0.170395
177,231,2.26,1.60,0.170274
260,260,2.26,1.60,0.170261
18,217,2.26,1.60,0.170195
159,214,2.26,1.60,0.170122
82,197,2.26,1.60,0.170083
44,166,5.63,3.98,0.170082
261,168,2.26,1.60,0.169942
153,278,2.26,1.60,0.169715
16,256,2.72,1.92,0.169665
64,170,6.76,4.78,0.169569
209,166,3.26,2.30,0.169441
341,152,6.76,4.78,0.169408
284,255,4.69,3.32,0.169071
174,202,2.26,1.60,0.169014
336,221,2.26,1.60,0.169000
344,215,2.26,1.60,0.168708
34,202,2.26,1.60,0.168531
306,207,2.26,1.60,0.168413
279,258,2.72,1.92,0.168400
102,239,2.72,1.92,0.168108
0,284,3.26,2.30,0.167958
232,195,2.26,1.60,0.167697
6,242,3.26,2.30,0.167680
325,194,2.26,1.60,0.167352
285,347,3.91,2.76,0.167202
243,292,2.26,1.60,0.167046
19,268,2.26,1.60,0.166826
143,198,2.26,1.60,0.166715
228,280,2.26,1.60,0.166589
274,207,3.26,2.30,0.166534
44,207,2.26,1.60,0.166456
164,177,2.26,1.60,0.166456
275,212,2.26,1.60,0.166455
137,175,2.26,1.60,0.166226
191,168,2.26,1.60,0.166054
227,169,2.72,1.92,0.166035
287,346,3.91,2.76,0.166024
344,185,3.26,2.30,0.165763
78,196,2.26,1.60,0.165750
144,326,14.01,9.91,0.165529
245,167,2.26,1.60,0.165435
42,169,6.76,4.78,0.165404
331,220,3.26,2.30,0.165185
293,320,2.72,1.92,0.165170
4,223,2.26,1.60,0.164916
342,221,2.72,1.92,0.164912
309,183,2.26,1.60,0.164871
247,184,2.72,1.92,0.164667
205,171,3.91,2.76,0.164549
156,359,2.72,1.92,0.164516
340,213,2.26,1.60,0.164436
256,348,5.63,3.98,0.164343
287,320,3.91,2.76,0.164130
4,284,3.26,2.30,0.164017
15,272,2.72,1.92,0.163970
332,223,2.72,1.92,0.163838
234,213,2.26,1.60,0.163762
87,195,2.26,1.60,0.163646
75,199,2.26,1.60,0.163449
24,213,2.26,1.60,0.163336
181,278,2.26,1.60,0.163260
10,175,3.26,2.30,0.163138
241,205,2.72,1.92,0.162849
348,199,2.26,1.60,0.162814
69,243,2.26,1.60,0.162802
280,249,3.91,2.76,0.162739
12,244,4.69,3.32,0.162730
218,170,3.91,2.76,0.162726
181,231,2.26,1.60,0.162695
195,169,2.26,1.60,0.162569
264,185,4.69,3.32,0.162537
262,212,2.72,1.92,0.162385
157,279,2.26,1.60,0.162288
168,199,2.26,1.60,0.162226
346,342,2.26,1.60,0.162222
49,264,2.26,1.60,0.161949
224,207,2.26,1.60,0.161788
277,353,4.69,3.32,0.161738
149,188,2.26,1.60,0.161720
285,194,2.26,1.60,0.161660
14,268,3.91,2.76,0.161458
171,295,2.26,1.60,0.161430
338,193,2.26,1.60,0.161328
337,146,2.26,1.60,0.160970
50,274,4.69,3.32,0.160942
211,209,2.26,1.60,0.160821
333,149,2.26,1.60,0.160537
303,148,2.26,1.60,0.160466
346,210,3.91,2.76,0.160249
328,217,2.72,1.92,0.160232
182,319,2.26,1.60,0.160202
117,268,2.26,1.60,0.160184
205,201,2.26,1.60,0.160036
176,142,5.63,3.98,0.159983
305,252,2.26,1.60,0.159661
259,335,2.26,1.60,0.159263
114,202,2.26,1.60,0.159215
14,241,5.63,3.98,0.159171
72,207,2.26,1.60,0.159127
210,164,5.63,3.98,0.159105
89,258,2.26,1.60,0.159057
140,199,2.26,1.60,0.158980
346,340,3.26,2.30,0.158979
199,216,2.26,1.60,0.158819
171,275,9.73,6.88,0.158807
146,290,2.26,1.60,0.158747
228,170,3.91,2.76,0.158608
296,146,3.26,2.30,0.158589
92,196,2.26,1.60,0.158584
334,234,2.72,1.92,0.158423
222,164,4.69,3.32,0.158332
180,349,2.26,1.60,0.158329
255,206,2.26,1.60,0.158209
