x,y,radius_px,sigma,score
321,237,2.72,1.92,0.135438
91,226,2.26,1.60,0.135245
52,281,2.72,1.92,0.135243
256,326,3.91,2.76,0.135126
180,315,2.26,1.60,0.135084
11,242,2.26,1.60,0.135045
72,264,2.26,1.60,0.135027
41,248,2.26,1.60,0.134959
249,254,2.26,1.60,0.134930
151,171,4.69,3.32,0.134886
180,193,2.26,1.60,0.134879
64,195,2.26,1.60,0.134608
35,185,2.72,1.92,0.134605
53,282,2.26,1.60,0.134522
16,176,2.26,1.60,0.134505
37,36,8.11,5.73,0.134469
231,166,2.72,1.92,0.134449
199,193,2.26,1.60,0.134425
203,153,16.81,11.89,0.134385
236,196,2.26,1.60,0.134224
117,197,2.26,1.60,0.134066
143,175,2.26,1.60,0.133918
199,291,20.17,14.27,0.133915
168,172,3.91,2.76,0.133761
187,193,2.26,1.60,0.133471
166,191,2.26,1.60,0.133404
211,205,2.26,1.60,0.133337
147,181,2.26,1.60,0.133194
152,254,9.73,6.88,0.133187
303,329,2.26,1.60,0.133171
183,309,2.26,1.60,0.133117
17,266,2.26,1.60,0.132930
49,70,8.11,5.73,0.132863
202,167,2.72,1.92,0.132739
137,236,3.26,2.30,0.132661
333,198,2.26,1.60,0.132657
61,335,4.69,3.32,0.132531
175,297,3.91,2.76,0.132500
247,268,2.26,1.60,0.132452
189,178,2.72,1.92,0.132429
258,260,3.91,2.76,0.132296
324,183,2.26,1.60,0.132141
305,254,3.91,2.76,0.132140
276,350,2.72,1.92,0.132111
32,165,14.01,9.91,0.132072
181,149,24.21,17.12,0.131898
262,308,11.68,8.26,0.131721
103,188,2.26,1.60,0.131619
79,175,2.26,1.60,0.131532
228,359,29.05,20.54,0.131363
79,297,2.26,1.60,0.131302
346,179,3.91,2.76,0.131253
280,216,2.72,1.92,0.131194
42,195,2.26,1.60,0.131191
189,306,8.11,5.73,0.131119
71,339,2.26,1.60,0.131039
271,345,2.26,1.60,0.131006
168,236,2.26,1.60,0.130981
160,257,2.26,1.60,0.130920
174,293,2.26,1.60,0.130862
289,260,2.26,1.60,0.130770
175,294,2.72,1.92,0.130719
165,182,2.72,1.92,0.130642
319,323,3.91,2.76,0.130617
220,149,20.17,14.27,0.130303
294,255,6.76,4.78,0.130022
332,325,2.26,1.60,0.129980
193,172,2.26,1.60,0.129942
305,188,8.11,5.73,0.129919
295,213,2.26,1.60,0.129810
40,197,2.26,1.60,0.129770
79,226,2.26,1.60,0.129541
89,254,2.26,1.60,0.129537
220,24,16.81,11.89,0.129516
82,287,2.26,1.60,0.129388
109,197,2.26,1.60,0.129345
353,183,2.26,1.60,0.129272
314,219,2.26,1.60,0.129225
208,179,2.26,1.60,0.129163
197,329,2.72,1.92,0.129052
304,348,2.26,1.60,0.128879
52,185,3.91,2.76,0.128756
40,214,2.26,1.60,0.128689
0,220,2.72,1.92,0.128646
279,179,3.91,2.76,0.128643
33,174,5.63,3.98,0.128436
32,177,2.72,1.92,0.128282
348,353,3.26,2.30,0.128238
155,208,2.26,1.60,0.128207
292,134,29.05,20.54,0.128106
142,191,2.26,1.60,0.128033
302,163,2.72,1.92,0.127994
301,183,2.26,1.60,0.127971
76,268,4.69,3.32,0.127691
300,206,2.26,1.60,0.127464
198,181,2.26,1.60,0.127405
95,359,4.69,3.32,0.127361
315,316,2.26,1.60,0.127169
138,174,3.26,2.30,0.127154
187,312,2.26,1.60,0.127106
64,359,3.91,2.76,0.127096
265,167,2.26,1.60,0.126924
74,176,2.72,1.92,0.126767
113,191,2.26,1.60,0.126707
270,240,3.91,2.76,0.126627
286,182,2.26,1.60,0.126368
195,188,2.26,1.60,0.126309
0,195,2.26,1.60,0.126309
123,189,2.26,1.60,0.126307
349,304,3.91,2.76,0.126272
172,248,3.26,2.30,0.126233
68,211,2.26,1.60,0.126120
261,230,3.26,2.30,0.125921
343,274,3.91,2.76,0.125855
294,200,2.26,1.60,0.125836
38,274,2.26,1.60,0.125762
323,186,5.63,3.98,0.125694
287,211,2.26,1.60,0.125653
339,341,2.26,1.60,0.125486
201,178,2.26,1.60,0.125391
259,197,2.26,1.60,0.125259
227,208,2.26,1.60,0.125231
182,282,2.26,1.60,0.125210
132,232,6.76,4.78,0.125132
332,146,2.26,1.60,0.125044
228,189,2.26,1.60,0.124999
3,192,2.26,1.60,0.124912
236,203,2.26,1.60,0.124909
13,295,4.69,3.32,0.124883
201,145,29.05,20.54,0.124786
196,199,2.26,1.60,0.124439
144,174,3.26,2.30,0.124354
117,352,2.26,1.60,0.123990
241,239,2.26,1.60,0.123984
21,276,2.72,1.92,0.123916
70,179,3.26,2.30,0.123850
191,196,2.26,1.60,0.123775
149,301,2.26,1.60,0.123719
38,176,2.26,1.60,0.123678
81,293,2.26,1.60,0.123640
359,239,5.63,3.98,0.123503
92,287,3.91,2.76,0.123338
339,149,2.26,1.60,0.123273
240,294,2.26,1.60,0.123224
218,189,2.26,1.60,0.123193
156,298,2.26,1.60,0.123060
32,277,2.26,1.60,0.122911
44,59,4.69,3.32,0.122893
227,283,2.26,1.60,0.122689
257,335,3.26,2.30,0.122678
248,179,2.72,1.92,0.122636
18,188,5.63,3.98,0.122566
84,276,3.91,2.76,0.122546
3,258,2.26,1.60,0.122418
350,247,2.26,1.60,0.122381
170,173,2.26,1.60,0.122289
68,175,2.72,1.92,0.122233
63,192,2.26,1.60,0.122221
181,228,2.26,1.60,0.121994
52,304,9.73,6.88,0.121978
116,234,2.72,1.92,0.121795
145,188,2.72,1.92,0.121649
5,201,2.26,1.60,0.121576
288,247,2.26,1.60,0.121488
98,174,3.91,2.76,0.121414
108,229,2.26,1.60,0.121369
196,338,2.26,1.60,0.121365
298,223,4.69,3.32,0.121335
150,330,2.26,1.60,0.121329
124,359,16.81,11.89,0.121315
120,237,5.63,3.98,0.121306
126,197,2.26,1.60,0.121250
113,171,5.63,3.98,0.121202
185,214,2.72,1.92,0.121086
23,348,2.26,1.60,0.121051
173,345,2.72,1.92,0.120984
111,245,2.26,1.60,0.120976
171,329,2.26,1.60,0.120962
134,285,2.72,1.92,0.120954
339,317,2.26,1.60,0.120881
236,182,2.26,1.60,0.120806
304,205,2.26,1.60,0.120695
234,206,2.26,1.60,0.120625
249,165,2.26,1.60,0.120566
174,207,2.26,1.60,0.120531
150,169,6.76,4.78,0.120516
231,232,2.26,1.60,0.120476
221,191,2.26,1.60,0.120442
172,330,2.72,1.92,0.120421
80,174,3.26,2.30,0.120279
272,200,2.26,1.60,0.120217
175,182,3.26,2.30,0.120190
68,305,4.69,3.32,0.120148
0,185,2.72,1.92,0.120128
46,183,2.26,1.60,0.120085
139,221,2.26,1.60,0.119894
1,139,29.05,20.54,0.119881
41,196,2.72,1.92,0.119684
313,271,2.26,1.60,0.119671
180,181,2.26,1.60,0.119605
162,205,2.72,1.92,0.119601
27,311,2.72,1.92,0.119591
317,317,3.26,2.30,0.119435
267,224,3.91,2.76,0.119285
255,336,4.69,3.32,0.119258
142,215,2.26,1.60,0.119200
89,146,29.05,20.54,0.119151
188,215,3.91,2.76,0.119115
159,193,2.26,1.60,0.119099
297,192,2.26,1.60,0.119095
99,274,3.91,2.76,0.119036
285,253,2.26,1.60,0.118979
292,191,2.26,1.60,0.118970
198,328,3.91,2.76,0.118933
89,286,2.26,1.60,0.118914
172,233,5.63,3.98,0.118903
349,291,4.69,3.32,0.118848
16,289,2.26,1.60,0.118821
50,197,2.26,1.60,0.118770
248,188,2.26,1.60,0.118749
226,16,29.05,20.54,0.118749
72,313,2.26,1.60,0.118720
356,232,2.26,1.60,0.118643
219,178,2.72,1.92,0.118620
155,174,2.26,1.60,0.118619
346,302,6.76,4.78,0.118432
26,228,3.26,2.30,0.118400
267,198,2.26,1.60,0.118362
74,265,3.26,2.30,0.118296
47,245,3.26,2.30,0.118277
245,130,3.91,2.76,0.118267
17,212,2.26,1.60,0.118202
124,265,4.69,3.32,0.118154
284,353,3.91,2.76,0.118115
178,345,2.26,1.60,0.117953
234,179,2.26,1.60,0.117828
76,301,2.26,1.60,0.117783
344,211,2.26,1.60,0.117645
168,191,2.26,1.60,0.117641
310,204,2.26,1.60,0.117483
48,194,2.26,1.60,0.117405
185,225,2.26,1.60,0.117352
233,250,2.26,1.60,0.117252
51,187,2.26,1.60,0.117089
293,356,2.26,1.60,0.116951
135,234,4.69,3.32,0.116946
359,228,9.73,6.88,0.116855
108,187,2.26,1.60,0.116779
127,262,6.76,4.78,0.116758
171,240,5.63,3.98,0.116734
105,175,2.26,1.60,0.116642
1,98,20.17,14.27,0.116378
42,72,14.01,9.91,0.116354
48,180,2.26,1.60,0.116253
322,328,6.76,4.78,0.116043
244,299,6.76,4.78,0.115872
332,180,2.26,1.60,0.115850
346,311,3.91,2.76,0.115631
109,356,2.26,1.60,0.115563
118,172,2.26,1.60,0.115530
146,169,8.11,5.73,0.115358
230,206,2.26,1.60,0.115326
9,186,2.72,1.92,0.115324
275,168,2.26,1.60,0.115251
290,259,3.91,2.76,0.115234
334,274,3.91,2.76,0.115021
128,341,6.76,4.78,0.115002
273,186,2.26,1.60,0.114964
147,174,2.26,1.60,0.114842
171,312,2.26,1.60,0.114803
127,170,5.63,3.98,0.114548
341,241,3.26,2.30,0.114482
179,339,2.72,1.92,0.114480
175,232,3.91,2.76,0.114323
276,358,2.72,1.92,0.114310
327,191,2.26,1.60,0.114108
352,239,2.26,1.60,0.113988
315,312,2.26,1.60,0.113942
280,202,4.69,3.32,0.113942
328,189,9.73,6.88,0.113899
260,318,5.63,3.98,0.113878
258,56,9.73,6.88,0.113846
215,191,2.26,1.60,0.113844
289,149,2.26,1.60,0.113785
8,222,2.26,1.60,0.113723
129,236,9.73,6.88,0.113555
235,202,2.72,1.92,0.113521
294,358,2.26,1.60,0.113511
23,288,4.69,3.32,0.113454
142,173,4.69,3.32,0.113356
45,195,2.26,1.60,0.113354
245,193,2.26,1.60,0.113245
132,190,2.26,1.60,0.113168
335,317,2.26,1.60,0.113154
153,332,2.26,1.60,0.113061
88,290,2.26,1.60,0.113035
263,319,3.91,2.76,0.112996
58,190,2.26,1.60,0.112754
119,244,2.26,1.60,0.112515
160,253,2.26,1.60,0.112389
227,245,11.68,8.26,0.112212
95,226,2.26,1.60,0.112097
319,164,2.72,1.92,0.112052
108,123,11.68,8.26,0.112037
126,335,3.26,2.30,0.111985
131,334,2.72,1.92,0.111858
252,277,2.26,1.60,0.111705
119,240,2.26,1.60,0.111672
91,195,3.91,2.76,0.111632
214,236,2.26,1.60,0.111592
342,145,2.26,1.60,0.111523
119,119,5.63,3.98,0.111442
198,254,2.26,1.60,0.111439
18,224,2.26,1.60,0.111423
7,229,2.26,1.60,0.111341
24,128,5.63,3.98,0.111295
280,314,2.26,1.60,0.111220
89,340,11.68,8.26,0.111121
161,221,3.26,2.30,0.110926
339,242,4.69,3.32,0.110912
197,228,2.26,1.60,0.110881
213,342,6.76,4.78,0.110785
228,182,2.26,1.60,0.110597
115,242,2.26,1.60,0.110549
341,275,2.26,1.60,0.110472
48,170,2.26,1.60,0.110442
97,202,4.69,3.32,0.110375
78,300,3.91,2.76,0.110208
208,206,2.26,1.60,0.110091
42,183,2.26,1.60,0.110048
292,231,2.26,1.60,0.109923
359,190,2.26,1.60,0.109917
202,234,2.72,1.92,0.109856
176,278,2.26,1.60,0.109781
16,238,2.26,1.60,0.109740
127,338,4.69,3.32,0.109739
193,322,2.26,1.60,0.109710
336,179,2.72,1.92,0.109566
109,240,2.26,1.60,0.109505
296,339,2.72,1.92,0.109399
316,182,2.26,1.60,0.109318
170,333,2.26,1.60,0.109313
196,279,9.73,6.88,0.109278
355,318,2.72,1.92,0.109209
218,186,8.11,5.73,0.109200
38,261,2.26,1.60,0.109193
343,347,4.69,3.32,0.109186
82,173,4.69,3.32,0.109163
359,215,2.26,1.60,0.109091
187,210,2.26,1.60,0.108999
97,219,2.26,1.60,0.108967
82,263,2.26,1.60,0.108943
284,245,2.26,1.60,0.108738
25,174,3.26,2.30,0.108718
109,182,2.26,1.60,0.108705
154,173,2.72,1.92,0.108684
85,176,2.26,1.60,0.108648
162,188,2.26,1.60,0.108583
74,273,2.26,1.60,0.108404
338,202,2.26,1.60,0.108338
33,344,6.76,4.78,0.108262
119,171,2.72,1.92,0.108217
96,206,2.26,1.60,0.108209
61,208,5.63,3.98,0.108163
145,216,2.26,1.60,0.108148
47,307,14.01,9.91,0.107930
76,187,2.26,1.60,0.107826
110,190,2.26,1.60,0.107779
73,259,2.26,1.60,0.107715
49,190,2.26,1.60,0.107705
23,228,4.69,3.32,0.107674
122,245,2.26,1.60,0.107671
44,201,2.26,1.60,0.107653
84,174,3.91,2.76,0.107635
273,202,2.26,1.60,0.107632
81,269,2.26,1.60,0.107602
230,179,2.26,1.60,0.107585
67,303,2.72,1.92,0.107522
144,257,16.81,11.89,0.107509
331,293,3.26,2.30,0.107414
261,208,16.81,11.89,0.107336
269,188,2.26,1.60,0.107197
252,286,2.72,1.92,0.107037
271,223,3.26,2.30,0.106809
309,152,2.26,1.60,0.106792
7,0,4.69,3.32,0.106720
269,194,2.26,1.60,0.106623
164,221,4.69,3.32,0.106619
168,327,2.26,1.60,0.106572
48,200,2.26,1.60,0.106419
353,318,4.69,3.32,0.106348
91,281,3.91,2.76,0.106347
136,196,2.26,1.60,0.106327
68,193,2.26,1.60,0.106263
359,185,2.26,1.60,0.106206
236,246,3.26,2.30,0.106166
23,110,3.91,2.76,0.106158
333,179,2.72,1.92,0.105963
341,329,2.26,1.60,0.105866
342,239,2.26,1.60,0.105860
102,196,2.26,1.60,0.105854
86,316,2.26,1.60,0.105810
147,215,2.26,1.60,0.105754
128,199,2.26,1.60,0.105724
144,133,6.76,4.78,0.105581
313,353,2.72,1.92,0.105463
327,177,5.63,3.98,0.105253
230,253,2.26,1.60,0.105081
300,328,2.26,1.60,0.105060
278,207,2.26,1.60,0.105055
298,268,2.26,1.60,0.104907
82,191,3.26,2.30,0.104760
311,208,2.26,1.60,0.104633
86,274,5.63,3.98,0.104475
103,173,4.69,3.32,0.104297
48,0,29.05,20.54,0.104260
311,318,2.26,1.60,0.104214
250,359,6.76,4.78,0.103971
26,267,2.26,1.60,0.103969
322,179,2.26,1.60,0.103962
292,197,2.26,1.60,0.103886
235,127,2.26,1.60,0.103857
225,331,9.73,6.88,0.103732
212,243,2.26,1.60,0.103491
285,249,2.26,1.60,0.103377
273,221,2.26,1.60,0.103370
34,214,5.63,3.98,0.103366
264,321,2.72,1.92,0.103178
131,332,3.91,2.76,0.103131
102,191,2.26,1.60,0.103046
241,296,3.91,2.76,0.103040
56,204,2.26,1.60,0.102954
166,174,2.26,1.60,0.102828
244,257,2.26,1.60,0.102814
255,197,2.26,1.60,0.102808
27,306,2.26,1.60,0.102803
46,296,2.26,1.60,0.102705
31,240,2.26,1.60,0.102695
204,56,8.11,5.73,0.102692
310,153,2.72,1.92,0.102613
183,178,2.72,1.92,0.102554
108,341,11.68,8.26,0.102537
105,202,2.26,1.60,0.102493
317,354,2.26,1.60,0.102468
311,197,16.81,11.89,0.102450
301,179,2.26,1.60,0.102383
320,211,29.05,20.54,0.102324
108,214,2.26,1.60,0.102258
32,309,2.26,1.60,0.102232
222,204,2.26,1.60,0.102222
186,0,24.21,17.12,0.102194
290,265,2.26,1.60,0.102157
78,343,2.26,1.60,0.102109
211,359,24.21,17.12,0.102046
84,271,2.26,1.60,0.102033
214,246,2.26,1.60,0.102004
48,257,2.26,1.60,0.101965
293,179,2.72,1.92,0.101937
252,197,2.26,1.60,0.101936
105,279,6.76,4.78,0.101741
14,302,2.26,1.60,0.101707
166,227,4.69,3.32,0.101704
27,237,2.26,1.60,0.101686
347,195,2.72,1.92,0.101483
163,219,2.26,1.60,0.101480
165,163,14.01,9.91,0.101466
192,188,8.11,5.73,0.101459
202,191,2.26,1.60,0.101432
240,346,20.17,14.27,0.101394
246,190,2.26,1.60,0.101389
0,359,5.63,3.98,0.101343
78,240,2.26,1.60,0.101338
333,238,5.63,3.98,0.101314
99,171,6.76,4.78,0.101185
35,194,2.26,1.60,0.101140
115,213,8.11,5.73,0.101112
117,200,2.26,1.60,0.101109
52,287,3.26,2.30,0.101048
70,193,3.26,2.30,0.101046
65,190,2.26,1.60,0.101018
233,293,2.26,1.60,0.100991
153,183,2.26,1.60,0.100831
349,154,2.26,1.60,0.100674
77,337,2.26,1.60,0.100663
133,197,2.26,1.60,0.100375
349,348,2.26,1.60,0.100240
66,349,2.26,1.60,0.100213
26,270,2.26,1.60,0.100151
210,202,2.26,1.60,0.100144
271,192,2.26,1.60,0.099978
320,321,2.26,1.60,0.099943
8,202,2.26,1.60,0.099914
75,229,2.26,1.60,0.099789
264,218,2.26,1.60,0.099760
325,238,2.26,1.60,0.099702
170,229,3.26,2.30,0.099699
52,192,2.72,1.92,0.099648
31,23,8.11,5.73,0.099647
239,266,2.26,1.60,0.099509
311,306,2.72,1.92,0.099481
239,194,2.26,1.60,0.099478
45,219,3.26,2.30,0.099328
301,325,2.26,1.60,0.098960
25,236,2.26,1.60,0.098954
81,301,5.63,3.98,0.098761
241,215,2.26,1.60,0.098690
106,211,2.26,1.60,0.098607
192,226,2.26,1.60,0.098541
26,43,3.91,2.76,0.098532
118,346,4.69,3.32,0.098374
339,206,8.11,5.73,0.098345
27,189,2.26,1.60,0.098300
281,272,2.26,1.60,0.098217
163,174,2.26,1.60,0.098150
135,257,2.26,1.60,0.098122
49,231,2.26,1.60,0.098050
224,282,5.63,3.98,0.097979
319,195,2.26,1.60,0.097924
20,193,2.26,1.60,0.097765
312,319,2.72,1.92,0.097763
87,253,3.91,2.76,0.097550
0,188,2.26,1.60,0.097519
128,330,2.26,1.60,0.097457
81,169,8.11,5.73,0.097434
150,186,3.91,2.76,0.097422
77,344,3.26,2.30,0.097377
0,172,5.63,3.98,0.097356
12,203,2.26,1.60,0.097349
288,183,3.26,2.30,0.097315
119,278,8.11,5.73,0.097273
16,221,2.26,1.60,0.097251
147,243,2.72,1.92,0.097164
88,246,2.26,1.60,0.097133
0,297,2.72,1.92,0.097075
95,190,2.26,1.60,0.097049
32,141,2.26,1.60,0.096915
89,272,2.26,1.60,0.096771
119,349,2.26,1.60,0.096758
304,327,3.91,2.76,0.096711
11,187,3.91,2.76,0.096688
272,277,4.69,3.32,0.096621
64,201,2.26,1.60,0.096597
298,182,2.26,1.60,0.096473
108,219,2.26,1.60,0.096472
279,204,2.26,1.60,0.096236
286,189,8.11,5.73,0.096140
295,342,2.26,1.60,0.096128
294,178,3.91,2.76,0.096088
156,191,2.72,1.92,0.096008
239,246,5.63,3.98,0.095927
45,300,2.72,1.92,0.095914
195,266,2.26,1.60,0.095813
80,159,20.17,14.27,0.095696
293,293,20.17,14.27,0.095617
114,350,2.26,1.60,0.095408
88,265,2.26,1.60,0.095407
149,244,2.72,1.92,0.095157
120,169,4.69,3.32,0.095041
246,294,2.26,1.60,0.095007
198,197,2.26,1.60,0.094912
251,337,2.26,1.60,0.094866
81,203,3.91,2.76,0.094861
113,353,2.26,1.60,0.094809
23,199,2.26,1.60,0.094617
178,281,2.26,1.60,0.094605
78,334,2.26,1.60,0.094602
238,139,2.72,1.92,0.094601
210,282,5.63,3.98,0.094585
334,329,2.26,1.60,0.094542
286,239,5.63,3.98,0.094535
315,238,2.26,1.60,0.094502
344,359,2.26,1.60,0.094468
85,258,2.26,1.60,0.094422
147,301,3.91,2.76,0.094357
75,190,2.26,1.60,0.094346
41,342,3.26,2.30,0.094203
94,183,2.26,1.60,0.094148
333,334,5.63,3.98,0.094066
293,207,5.63,3.98,0.093957
192,221,5.63,3.98,0.093834
192,199,2.26,1.60,0.093775
249,291,2.26,1.60,0.093710
96,280,2.26,1.60,0.093620
290,184,2.72,1.92,0.093595
230,270,3.26,2.30,0.093529
42,243,2.26,1.60,0.093463
59,259,2.26,1.60,0.093445
300,178,3.26,2.30,0.093346
34,259,2.26,1.60,0.093326
118,201,2.72,1.92,0.093296
354,201,2.26,1.60,0.093123
247,336,2.72,1.92,0.093048
348,194,2.26,1.60,0.093035
7,9,5.63,3.98,0.093013
244,209,2.26,1.60,0.092979
280,193,2.26,1.60,0.092977
213,233,3.91,2.76,0.092973
77,232,2.26,1.60,0.092951
253,288,3.91,2.76,0.092942
225,191,2.26,1.60,0.092934
52,314,2.26,1.60,0.092911
277,241,2.26,1.60,0.092867
33,207,2.26,1.60,0.092799
255,232,3.26,2.30,0.092756
8,46,5.63,3.98,0.092739
193,224,3.91,2.76,0.092640
52,156,2.26,1.60,0.092624
131,185,2.26,1.60,0.092575
3,174,2.72,1.92,0.092344
320,357,4.69,3.32,0.092238
28,359,4.69,3.32,0.092204
31,217,2.72,1.92,0.092136
359,338,4.69,3.32,0.092078
246,359,4.69,3.32,0.091917
145,333,3.26,2.30,0.091768
291,230,3.26,2.30,0.091667
134,81,6.76,4.78,0.091614
355,276,2.72,1.92,0.091594
194,323,2.72,1.92,0.091504
133,149,29.05,20.54,0.091306
112,80,5.63,3.98,0.090857
292,228,3.91,2.76,0.090558
332,269,2.72,1.92,0.090547
248,292,2.72,1.92,0.090512
76,183,2.72,1.92,0.090277
325,318,5.63,3.98,0.090163
325,322,2.72,1.92,0.090132
86,246,3.26,2.30,0.090126
20,359,3.91,2.76,0.089916
247,334,3.91,2.76,0.089762
215,333,3.91,2.76,0.089712
153,339,3.26,2.30,0.089708
37,193,3.26,2.30,0.089617
354,343,2.72,1.92,0.089490
77,128,2.72,1.92,0.089484
338,348,8.11,5.73,0.089421
1,196,29.05,20.54,0.089345
60,355,2.72,1.92,0.089143
342,297,3.26,2.30,0.089057
137,334,2.72,1.92,0.089044
332,348,9.73,6.88,0.089019
330,279,3.26,2.30,0.088936
30,354,3.91,2.76,0.088659
108,183,2.72,1.92,0.088590
129,291,6.76,4.78,0.088585
329,281,4.69,3.32,0.088482
115,343,8.11,5.73,0.088220
285,312,4.69,3.32,0.088158
359,287,6.76,4.78,0.088048
48,144,29.05,20.54,0.087835
339,282,6.76,4.78,0.087761
181,29,2.72,1.92,0.087667
26,277,2.72,1.92,0.087591
203,223,2.72,1.92,0.087563
251,230,2.72,1.92,0.087517
311,252,2.72,1.92,0.087466
147,130,3.91,2.76,0.087343
17,297,8.11,5.73,0.087155
335,304,14.01,9.91,0.086961
119,196,3.26,2.30,0.086909
42,31,3.26,2.30,0.086655
120,335,3.91,2.76,0.086641
109,168,9.73,6.88,0.086554
26,122,3.26,2.30,0.086311
157,240,2.72,1.92,0.086241
191,29,3.26,2.30,0.085858
353,209,2.72,1.92,0.085711
206,230,2.72,1.92,0.085703
296,206,3.91,2.76,0.085574
133,329,5.63,3.98,0.085510
352,359,3.91,2.76,0.085500
160,202,5.63,3.98,0.085496
122,282,3.91,2.76,0.085298
294,210,3.91,2.76,0.085262
233,295,3.91,2.76,0.085165
331,268,3.26,2.30,0.085031
235,223,3.26,2.30,0.084906
273,295,5.63,3.98,0.084616
222,221,4.69,3.32,0.084612
188,351,3.91,2.76,0.084563
94,331,3.26,2.30,0.084515
215,254,3.91,2.76,0.084416
359,292,2.72,1.92,0.084377
290,206,8.11,5.73,0.084205
191,23,3.26,2.30,0.084124
252,231,3.26,2.30,0.083953
38,16,16.81,11.89,0.083922
68,202,4.69,3.32,0.083878
326,321,3.91,2.76,0.083841
100,324,9.73,6.88,0.083615
326,345,8.11,5.73,0.083356
280,243,3.26,2.30,0.083172
65,355,2.72,1.92,0.083115
220,222,3.26,2.30,0.083036
205,12,4.69,3.32,0.082899
190,21,4.69,3.32,0.082871
45,233,2.72,1.92,0.082696
265,316,2.72,1.92,0.082450
2,319,2.72,1.92,0.082360
0,226,4.69,3.32,0.082331
246,332,5.63,3.98,0.082113
254,130,2.72,1.92,0.082047
59,354,3.91,2.76,0.081979
135,293,4.69,3.32,0.081861
225,305,6.76,4.78,0.081847
85,334,2.72,1.92,0.081727
270,0,5.63,3.98,0.081641
113,276,2.72,1.92,0.081606
211,224,3.26,2.30,0.081527
232,297,5.63,3.98,0.081468
321,192,2.72,1.92,0.081462
177,188,2.72,1.92,0.081434
136,224,3.26,2.30,0.081283
214,228,6.76,4.78,0.081127
270,288,2.72,1.92,0.080971
287,271,3.26,2.30,0.080481
274,125,3.26,2.30,0.080271
208,299,3.91,2.76,0.080102
344,283,4.69,3.32,0.079965
134,315,2.72,1.92,0.079943
96,199,2.72,1.92,0.079824
356,304,2.72,1.92,0.079739
220,266,2.72,1.92,0.079736
68,199,3.91,2.76,0.079192
248,308,3.91,2.76,0.079148
82,312,2.72,1.92,0.079069
231,300,8.11,5.73,0.078896
355,189,2.72,1.92,0.078787
38,214,3.91,2.76,0.078780
99,165,14.01,9.91,0.078675
273,291,3.26,2.30,0.078659
38,268,2.72,1.92,0.078615
304,354,3.26,2.30,0.078384
220,281,8.11,5.73,0.078307
226,263,8.11,5.73,0.077951
66,29,29.05,20.54,0.077875
313,301,2.72,1.92,0.077852
121,284,2.72,1.92,0.077843
336,286,2.72,1.92,0.077640
89,358,29.05,20.54,0.077629
350,202,5.63,3.98,0.077363
79,123,2.72,1.92,0.077227
329,328,2.72,1.92,0.077192
218,293,6.76,4.78,0.077133
37,340,3.26,2.30,0.076925
238,211,3.26,2.30,0.076713
342,290,2.72,1.92,0.076659
272,187,3.26,2.30,0.076451
50,102,24.21,17.12,0.076386
270,61,6.76,4.78,0.076283
285,273,4.69,3.32,0.076250
244,253,11.68,8.26,0.075908
183,359,3.26,2.30,0.075818
33,268,2.72,1.92,0.075817
186,292,5.63,3.98,0.075780
339,266,5.63,3.98,0.075650
172,39,4.69,3.32,0.075576
140,309,4.69,3.32,0.075518
140,196,24.21,17.12,0.075504
37,28,3.26,2.30,0.075329
35,99,20.17,14.27,0.075171
216,252,2.72,1.92,0.075112
47,223,2.72,1.92,0.075098
255,308,3.26,2.30,0.075018
236,258,8.11,5.73,0.074864
66,343,4.69,3.32,0.074639
96,302,3.91,2.76,0.074445
220,304,3.26,2.30,0.074341
214,0,2.72,1.92,0.073929
311,288,3.91,2.76,0.073738
232,260,8.11,5.73,0.073719
167,209,2.72,1.92,0.073538
328,267,5.63,3.98,0.073409
0,33,5.63,3.98,0.073331
135,226,3.91,2.76,0.073143
351,283,3.26,2.30,0.073141
106,51,5.63,3.98,0.073086
200,22,2.72,1.92,0.073065
200,319,3.26,2.30,0.073054
211,292,3.91,2.76,0.073013
212,346,2.72,1.92,0.072923
0,214,9.73,6.88,0.072895
255,154,4.69,3.32,0.072878
96,338,5.63,3.98,0.072830
245,232,3.26,2.30,0.072759
59,54,14.01,9.91,0.072632
220,328,4.69,3.32,0.072611
260,296,3.91,2.76,0.072568
245,135,2.72,1.92,0.072423
38,359,6.76,4.78,0.072344
68,345,2.72,1.92,0.072275
248,312,6.76,4.78,0.072135
325,274,2.72,1.92,0.072074
23,141,6.76,4.78,0.071801
65,100,29.05,20.54,0.071762
166,189,6.76,4.78,0.071730
327,306,2.72,1.92,0.071685
53,334,3.26,2.30,0.071517
275,274,2.72,1.92,0.071289
209,293,3.26,2.30,0.071074
84,57,2.72,1.92,0.070875
219,299,2.72,1.92,0.070780
81,313,3.91,2.76,0.070743
129,318,2.72,1.92,0.070664
9,26,3.91,2.76,0.070662
18,304,2.72,1.92,0.070576
325,314,9.73,6.88,0.070532
234,232,4.69,3.32,0.070422
160,353,3.26,2.30,0.070321
350,112,3.91,2.76,0.070149
214,292,5.63,3.98,0.070091
295,1,29.05,20.54,0.070077
107,47,3.26,2.30,0.070073
200,226,4.69,3.32,0.070028
208,315,8.11,5.73,0.069887
322,293,2.72,1.92,0.069883
326,252,3.26,2.30,0.069363
198,16,3.26,2.30,0.069266
32,332,2.72,1.92,0.069208
281,312,3.26,2.30,0.069191
0,113,9.73,6.88,0.068999
128,286,3.26,2.30,0.068905
